Rank,Name,TM,PSN,Points,Games Played,PPG
1,Lamar Jackson,BAL,QB,421.7,15,28.1
2,Christian McCaffrey,CAR,RB,393.9,15,26.3
3,Deshaun Watson,HOU,QB,332.5,15,22.2
4,Dak Prescott,DAL,QB,319.3,15,21.3
5,Jameis Winston,TB,QB,318.7,15,21.3
6,Russell Wilson,SEA,QB,313.3,15,20.9
7,Josh Allen,BUF,QB,297.3,15,19.8
8,Michael Thomas,NO,WR,294.4,15,19.6
9,Kyler Murray,ARI,QB,282.3,15,18.8
10,Patrick Mahomes,KC,QB,279.8,13,21.5
11,Aaron Jones,GB,RB,275,15,18.3
12,Matt Ryan,ATL,QB,266.9,14,19.1
13,Dalvin Cook,MIN,RB,265.9,14,19
14,Carson Wentz,PHI,QB,265.8,15,17.7
15,Aaron Rodgers,GB,QB,262.3,15,17.5
16,Ezekiel Elliott,DAL,RB,258.8,15,17.3
17,Tom Brady,NE,QB,255.8,15,17.1
18,Kirk Cousins,MIN,QB,250.4,15,16.7
19,Austin Ekeler,LAC,RB,249.6,15,16.6
20,Jimmy Garoppolo,SF,QB,248.4,15,16.6
21,Derrick Henry,TEN,RB,246.5,14,17.6
22,Jared Goff,LAR,QB,238.3,15,15.9
23,Philip Rivers,LAC,QB,237.8,15,15.9
24,New England Patriots,NE,DST,234,15,15.6
25,Chris Godwin,TB,WR,233.1,14,16.7
26,Derek Carr,OAK,QB,232.9,15,15.5
27,Nick Chubb,CLE,RB,232.5,15,15.5
28,Ryan Fitzpatrick,MIA,QB,230.4,14,16.5
29,Mark Ingram,BAL,RB,229.5,15,15.3
30,Baker Mayfield,CLE,QB,227.2,15,15.2
31,Leonard Fournette,JAC,RB,221.4,15,14.8
32,Jacoby Brissett,IND,QB,219,14,15.6
33,DeAndre Hopkins,HOU,WR,217.5,15,14.5
34,Chris Carson,SEA,RB,214.1,15,14.3
35,Julio Jones,ATL,WR,213.3,14,15.2
36,Ryan Tannehill,TEN,QB,212.3,11,19.3
37,Daniel Jones,NYG,QB,211.3,12,17.6
38,Gardner Minshew,JAC,QB,209.8,13,16.1
39,Drew Brees,NO,QB,206.8,10,20.7
40,Kenny Golladay,DET,WR,206.8,15,13.8
41,Mitchell Trubisky,CHI,QB,206.4,14,14.7
42,Cooper Kupp,LAR,WR,204.1,15,13.6
43,Julian Edelman,NE,WR,202.2,15,13.5
44,Travis Kelce,KC,TE,201.9,15,13.5
45,Andy Dalton,CIN,QB,199.4,12,16.6
46,Mike Evans,TB,WR,199.2,13,15.3
47,Saquon Barkley,NYG,RB,198.9,12,16.6
48,Amari Cooper,DAL,WR,195.2,15,13
49,Allen Robinson,CHI,WR,194.1,15,12.9
50,Todd Gurley,LAR,RB,194,14,13.9
51,DeVante Parker,MIA,WR,192.5,15,12.8
52,Sam Darnold,NYJ,QB,191.3,12,15.9
53,Keenan Allen,LAC,WR,190.8,15,12.7
